Header,Document,Tokens
Branche Développement Territorial,"Business du 13 Juillet 2022
Review
",12
Ordre du jour,"I Suivi des recommandations de la BR du 14 Mars 2022
II Conjoncture économique
III Etat d’avancement des chantiers stratégiques
IV Filiales : Réalisations au titre du S1 2022
V Branche Développement Territorial : S1 2022
2
",73
Ordre du jour,"I Suivi des recommandations de la BR du 14 Mars 2022
II Conjoncture économique
III Etat d’avancement des chantiers stratégiques
IV Filiales : Réalisations au titre du S1 2022
V Branche Développement Territorial : S1 2022
3
",73
Ordre du jour,"I Suivi des recommandations de la BR du 13 Décembre 2021
II Conjoncture économique
III Etat d’avancement des chantiers stratégiques
IV Filiales : Réalisations au titre de l’exercice 2021
V Branche Développement Territorial : Arrêté 2021
7
",78
Ordre du jour,"I Suivi des recommandations de la BR du 13 Décembre 2021
II Conjoncture économique
III Etat d’avancement des chantiers stratégiques
IV Filiales : Réalisations au titre de l’exercice 2021
V Branche Développement Territorial : Arrêté 2021
10
",78
Ordre du jour,"I Suivi des recommandations de la BR du 14 Mars 2022
II Conjoncture économique
III Etat d’avancement des chantiers stratégiques
IV Filiales : Réalisations au titre du S1 2022
V Branche Développement Territorial : S1 2022
18
",73
Ordre du jour,"I Suivi des recommandations de la BR du 14 Mars 2022
II Conjoncture économique
III Etat d’avancement des chantiers stratégiques
IV Filiales : Réalisations au titre du S1 2022
V Branche Développement Territorial : S1 2022
30
",73
Suivi des recommandations,"Recommandations / Actions Réalisations à date Prochaines étapes Statut
1
BP/PMTdesfiliales:
• PMT/BPdesfilialesfinalisés • PrésentationdesPMT/BPàprogrammerauniveaudesinstances
Programmer des CA dédiés au traitement
degouvernancedesfiliales
des BP/PMT des filiales en vue de la
préparation du PMT de la Branche pour
validation
2
CessiondeSONADAC • Finalisation du contrat de crédit, ainsi que l’ensemble des • Traitement avec le ministère de l’intérieur des problématiques
Suivre le processus de transfert de la modalitésrelativesàlaconstitutiondessûretésetdedéblocage liées à la gouvernance de SONADAC, dont notamment la
SONADAC àl’Etat desfonds désignationd’unPrésidentduCA
• Levée des conditions suspensives et attente du retour de l’AUC • Signature de la documentation juridique et réalisation de
parrapportauclosing l’opération
3
DyarAlMansour • Signature des contrats de vente définitifs relatifs aux terrains • SignatureducontratdéfinitifdecessiondePapelera
Suivre le processus de cession du foncier Skhirat(68MDH)etAinAtiq(83MDH)
propriétédeDAM • Signature d’un compromis de vente pour la cession du terrain
Papelera (170 MDH) avec une indemnité d’immobilisation
verséeàDAM de10%duprixdecession
4
AlManar-cessiondufoncierA6 • Plan de masse réajusté selon les orientations desautorités et mis • Obtentiondesaccordsrelatifsauplandemasseglobal
Poursuivrelesdémarchespourlacessiondu en circuit d’approbation auprès des autorités concernées (via • Définitionduschémade valorisationdechacunedestranches :
lot A6, à travers notamment la prospection l’AUC) ParcelleA6/1(tour)etParcelleA6/2(mix résidentieletbureaux)
d’investisseurspotentiels
• Reprisedesdiscussionsaveclesinvestisseurspotentielsidentifiés
4
",532
Suivi des recommandations,"Recommandations / Actions Réalisations à date Prochaines étapes Statut
5
Budget2021–Chargesdupersonnel • Feuille de route RH de la Branche Développement Territorial • Programmationd’unCNRafind’approuverlafeuillederouteRH
Programmation d’un CNR afin finalisée préalablementàsondéploiement
d’approuver la feuille de route et statuer
sur l’ensemble des problématiquesliées à
lagestiondupersonneldelaBranche
6
Opérationaccordéon–CDGDév. • Augmentation de capital (initialement approuvée par le CA) • Signature des avenants concernant la restructuration de la
Identification du schéma optimal pour la
abandonnée detteCDG
réalisation de l’opération accordéon sur
• Transformation de cette opération (à la demande de CDG) en
CDG Dév, (impacts financiers,
detteMLT
séquencement…)
7
CGI – Benchmark et positionnement par • Lancement du projet « Renaissance » au niveau de la Branche • Présentation des conclusions de l’étude aux instances courant
rapportauxconcurrents Développement Territorial, visant à réaliser une étude 2022
Présentation des résultats de l’étude
stratégique du secteur de l’immobilier (étude de marché,
globale dumarchéréaliséeauniveaude
positionnementdelaBranche,projections…)
la Branche aux instances de
• Livrables relatifs à la Phase 1 (Analyse du secteur) et Phase 2
gouvernances courant le 1er semestre
(positionnementdesprojetsimmobiliersdelaBranches)finalisés
2022
5
",428
Suivi des recommandations,"Recommandations / Actions Réalisations à date Prochaines étapes Statut
8
CelluledeveilleCorporate/Branche • Mise en place d’un Comité de Pilotage des Investissements afin • Présenter une restitution du CPI aux instances de CDG
Création d’une cellule de veille afin de de suivre l’évolution de l’impact induit par l’inflation sur les Développement
suivre l’évolution du contexte
métiers de la Branche et co-construire des mécanismes de
économique et politique actuel,
réactionstructurés
notamment l’évolution des prix des
matièrespremières
9
BudgetCGI 2022 • ValidationparleCAdelaCGI(24/03/22)d’unenouvelleversion
Présentation du budget CGI 2022 du budget 2022 tenant en considération le décalage de la
incluant l’impact de la cession du terrain
cession de Ain Aouda (RN actualisé de 30 MDH Vs RN base de
AinAouda
125MDH)
6
6
",255
Conjoncture économique,"Contexte international
Révision à la baisse des perspectives économiques
Persistance de l’inflation à moyen terme
mondiales à l’aune du contexte perturbé
Projections de croissancemondiale
Evolution de l’inflation
+6,1%
+2,8% par rapport aux
Reprise économique mondiale 8,7%
+3,6% +3,6% perspectives de janv. 2022
entravée par la perturbation
des chaines +1,8% par rapport aux
5,7%
-3,3% d’approvisionnement et la perspectives de janv. 2022
3,6%
guerre en Ukraine
2,0%
2020 2021 2022 2023
2021 2022
Pays Avancés Pays Emergents
Projections de croissancepar zone
Etats-unis Zone Euro Pays Emergents
Inflation structurelle, face à un déséquilibre global entre l’offre et
la demande et la hausse des prix relatifs aux produits de base
+5,7% +5,3% +7,3%
+5,6%
+5,4%
+3,7%
Arbitrage difficile des gouvernements entre la maitrise de
+2,8%
+2,3% +2,3%
l’inflation et le soutien de la reprise économique
Politiques budgétaires définies en fonction de l’exposition aux
2021 2022 2023 2021 2022 2023 2021 2022 2023 répercutions de la guerre en Ukraine 8
",369
Conjoncture économique,"Contexte national
Croissance de l’économie nationale
Impacts subis par l’économie national
+4,9%
+2,9%
1,6%
Hausse importante des prix des matières premières, dont notamment
les matériaux de construction, ce qui induirait une hausse probable
des couts de construction des projets
-6,3%
2020 2021 2022 2022 revu
Problématiques liées à la disponibilité des matières premières compte
tenu des fortes pressions sur les chaines logistiques
Inflation prévue pour 2022 selon
4,7%
BKAM
Hausse de l’IPC (entre avril 2021 et Choc subi par le secteur agricole au vu des conditions
avril 2022), dont +9,1% pour les pluviométriques
+5,9%
produits alimentaires et 12,4% pour
le transport
9
",224
